"quantitySum","d","side"
"373809.67432200036","2019-04-03 00:00:00","buy"
"359248.19604400033","2019-04-04 00:00:00","buy"
"263381.76839900005","2019-04-05 00:00:00","buy"
"301280.8865840002","2019-04-06 00:00:00","buy"
"240734.94691200022","2019-04-07 00:00:00","buy"
"470446.68153800035","2019-04-08 00:00:00","buy"
"233708.99978000016","2019-04-09 00:00:00","buy"
"282832.7615450002","2019-04-10 00:00:00","buy"
"364378.3310170003","2019-04-11 00:00:00","buy"
"181838.60570100008","2019-04-12 00:00:00","buy"
"101484.82340300005","2019-04-13 00:00:00","buy"
"100484.52755200007","2019-04-14 00:00:00","buy"
"194368.52690900007","2019-04-15 00:00:00","buy"
"137268.33079499996","2019-04-16 00:00:00","buy"
"130757.31132000011","2019-04-17 00:00:00","buy"
"219173.89774900026","2019-04-18 00:00:00","buy"
"167441.98395900015","2019-04-19 00:00:00","buy"
"139610.19770200015","2019-04-20 00:00:00","buy"
"152312.368843","2019-04-21 00:00:00","buy"
"144879.76461800007","2019-04-22 00:00:00","buy"
"210217.83923800025","2019-04-23 00:00:00","buy"
"238309.06524300118","2019-04-24 00:00:00","buy"
"243398.7688430007","2019-04-25 00:00:00","buy"
"258668.82703600076","2019-04-26 00:00:00","buy"
"115530.81738900005","2019-04-27 00:00:00","buy"
"84928.7666439999","2019-04-28 00:00:00","buy"
"141254.53623200004","2019-04-29 00:00:00","buy"
"163087.73355200002","2019-04-30 00:00:00","buy"
"105245.07930700008","2019-05-01 00:00:00","buy"
"153485.42688500028","2019-05-02 00:00:00","buy"
"229954.4313190003","2019-05-03 00:00:00","buy"
"177023.11197400023","2019-05-04 00:00:00","buy"
"100569.05399400012","2019-05-05 00:00:00","buy"
"239230.77943500035","2019-05-06 00:00:00","buy"
"391890.25675500074","2019-05-07 00:00:00","buy"
"163644.07241800017","2019-05-08 00:00:00","buy"
"158751.51372000022","2019-05-09 00:00:00","buy"
"226394.06293800025","2019-05-10 00:00:00","buy"
"459077.4367480007","2019-05-11 00:00:00","buy"
"452860.43064300093","2019-05-12 00:00:00","buy"
"364659.7263540002","2019-05-13 00:00:00","buy"
"450465.7160480004","2019-05-14 00:00:00","buy"
"61889.781452999916","2019-05-15 00:00:00","buy"
"107445.17056200004","2019-05-18 00:00:00","buy"
"426721.68596600054","2019-05-19 00:00:00","buy"
"356205.98314900015","2019-05-20 00:00:00","buy"
"309076.4092229999","2019-05-21 00:00:00","buy"
"325605.013827","2019-05-22 00:00:00","buy"
"313996.5942030003","2019-05-23 00:00:00","buy"
"239208.694757","2019-05-24 00:00:00","buy"
"179978.50859200017","2019-05-25 00:00:00","buy"
"244940.8294820001","2019-05-26 00:00:00","buy"
"329342.41730000015","2019-05-27 00:00:00","buy"
"214119.27328300028","2019-05-28 00:00:00","buy"
"205203.97358800026","2019-05-29 00:00:00","buy"
"563128.7069530002","2019-05-30 00:00:00","buy"
"309729.4041060002","2019-05-31 00:00:00","buy"
"226182.60886200046","2019-06-01 00:00:00","buy"
"160387.6102260001","2019-06-02 00:00:00","buy"
"219818.63546500023","2019-06-03 00:00:00","buy"
"331200.1044750002","2019-06-04 00:00:00","buy"
"179756.7996460001","2019-06-05 00:00:00","buy"
"167392.3276680001","2019-06-06 00:00:00","buy"
"175618.69473299995","2019-06-07 00:00:00","buy"
"105858.39555000007","2019-06-08 00:00:00","buy"
"182514.08422200012","2019-06-09 00:00:00","buy"
"166667.76491700034","2019-06-10 00:00:00","buy"
"129112.64264599988","2019-06-11 00:00:00","buy"
"164233.86114599998","2019-06-12 00:00:00","buy"
"163620.56014500008","2019-06-13 00:00:00","buy"
"173049.93604800015","2019-06-14 00:00:00","buy"
"146447.76969300004","2019-06-15 00:00:00","buy"
"248788.59205300017","2019-06-16 00:00:00","buy"
"186114.56874400028","2019-06-17 00:00:00","buy"
"182016.02934600005","2019-06-18 00:00:00","buy"
"115471.02074299994","2019-06-19 00:00:00","buy"
"116033.57833799996","2019-06-20 00:00:00","buy"
"269317.64941300015","2019-06-21 00:00:00","buy"
"400193.00971900066","2019-06-22 00:00:00","buy"
"232379.57858200037","2019-06-23 00:00:00","buy"
"191191.73432400025","2019-06-24 00:00:00","buy"
"185244.53549200023","2019-06-25 00:00:00","buy"
"568824.6606500006","2019-06-26 00:00:00","buy"
"598530.4534130016","2019-06-27 00:00:00","buy"
"296323.43319100083","2019-06-28 00:00:00","buy"
"243502.38011800044","2019-06-29 00:00:00","buy"
"293170.3631490007","2019-06-30 00:00:00","buy"
"273927.3928120008","2019-07-01 00:00:00","buy"
"298988.81398400065","2019-07-02 00:00:00","buy"
"225614.38677000062","2019-07-03 00:00:00","buy"
"168327.3647100005","2019-07-04 00:00:00","buy"
"159178.97789300059","2019-07-05 00:00:00","buy"
"119665.93982900017","2019-07-06 00:00:00","buy"
"133632.62739900022","2019-07-07 00:00:00","buy"
"158758.73267500024","2019-07-08 00:00:00","buy"
"188274.36178900048","2019-07-09 00:00:00","buy"
"298733.42554000043","2019-07-10 00:00:00","buy"
"295090.32213400066","2019-07-11 00:00:00","buy"
"159288.112095","2019-07-12 00:00:00","buy"
"129796.29655200039","2019-07-13 00:00:00","buy"
"319726.6384760007","2019-07-14 00:00:00","buy"
"385402.96048100054","2019-07-15 00:00:00","buy"
"415282.91023500066","2019-07-16 00:00:00","buy"
"373411.21316100063","2019-07-17 00:00:00","buy"
"330853.52857800067","2019-07-18 00:00:00","buy"
"208570.40643899978","2019-07-19 00:00:00","buy"
"178184.8401980003","2019-07-20 00:00:00","buy"
"148430.7361110003","2019-07-21 00:00:00","buy"
"157296.63225000055","2019-07-22 00:00:00","buy"
"174323.54441100013","2019-07-23 00:00:00","buy"
"181549.00856000013","2019-07-24 00:00:00","buy"
"155419.325019","2019-07-25 00:00:00","buy"
"111924.05462600003","2019-07-26 00:00:00","buy"
"178782.86441300044","2019-07-27 00:00:00","buy"
"118906.82839499997","2019-07-28 00:00:00","buy"
"122298.18156900002","2019-07-29 00:00:00","buy"
"111494.08957100008","2019-07-30 00:00:00","buy"
"113410.37666600001","2019-07-31 00:00:00","buy"
"114439.18499100007","2019-08-01 00:00:00","buy"
"119856.57436800018","2019-08-02 00:00:00","buy"
"103388.66623700001","2019-08-03 00:00:00","buy"
"84094.38134400002","2019-08-04 00:00:00","buy"
"176308.38157600013","2019-08-05 00:00:00","buy"
"214225.58833300046","2019-08-06 00:00:00","buy"
"165748.9318450002","2019-08-07 00:00:00","buy"
"146514.85797200026","2019-08-08 00:00:00","buy"
"136013.33771300016","2019-08-09 00:00:00","buy"
"149749.92093200042","2019-08-10 00:00:00","buy"
"101782.90856000014","2019-08-11 00:00:00","buy"
"67066.86621599998","2019-08-12 00:00:00","buy"
"109485.81353000006","2019-08-13 00:00:00","buy"
"201265.5517880003","2019-08-14 00:00:00","buy"
"146308.94698200046","2019-08-15 00:00:00","buy"
"167786.10650100032","2019-08-16 00:00:00","buy"
"81932.33189100026","2019-08-17 00:00:00","buy"
"94057.17102500006","2019-08-18 00:00:00","buy"
"133757.03662500047","2019-08-19 00:00:00","buy"
"110923.79146000027","2019-08-20 00:00:00","buy"
"167436.26143100028","2019-08-21 00:00:00","buy"
"133625.38269800018","2019-08-22 00:00:00","buy"
"101564.97705600012","2019-08-23 00:00:00","buy"
"94479.67011300017","2019-08-24 00:00:00","buy"
"97326.54790300019","2019-08-25 00:00:00","buy"
"143227.56895700013","2019-08-26 00:00:00","buy"
"89676.3552500002","2019-08-27 00:00:00","buy"
"199318.12090200087","2019-08-28 00:00:00","buy"
"164291.86491400018","2019-08-29 00:00:00","buy"
"129046.134333","2019-08-30 00:00:00","buy"
"99643.41598999995","2019-08-31 00:00:00","buy"
"93774.75962500006","2019-09-01 00:00:00","buy"
"155902.4097779999","2019-09-02 00:00:00","buy"
"181782.34542700002","2019-09-03 00:00:00","buy"
"156976.6815060003","2019-09-04 00:00:00","buy"
"130286.60903200018","2019-09-05 00:00:00","buy"
"184869.36118200034","2019-09-06 00:00:00","buy"
"133527.98834600006","2019-09-07 00:00:00","buy"
"162087.7926170003","2019-09-08 00:00:00","buy"
"153392.8840540002","2019-09-09 00:00:00","buy"
"133596.36339200038","2019-09-10 00:00:00","buy"
"152073.77326500023","2019-09-11 00:00:00","buy"
"107296.18151300006","2019-09-12 00:00:00","buy"
"133353.85783599995","2019-09-13 00:00:00","buy"
"125558.24944800002","2019-09-14 00:00:00","buy"
"145489.23584800021","2019-09-15 00:00:00","buy"
"279507.02964400046","2019-09-16 00:00:00","buy"
"363313.0601900002","2019-09-17 00:00:00","buy"
"285256.10152200016","2019-09-18 00:00:00","buy"
"447289.82603900024","2019-09-19 00:00:00","buy"
"230501.2032910002","2019-09-20 00:00:00","buy"
"221970.14006700035","2019-09-21 00:00:00","buy"
"233080.30553500017","2019-09-22 00:00:00","buy"
"213649.67281000025","2019-09-23 00:00:00","buy"
"800094.5959360003","2019-09-24 00:00:00","buy"
"462275.3347740014","2019-09-25 00:00:00","buy"
"423246.741597001","2019-09-26 00:00:00","buy"
