"quantitySum","d","side"
"378430.2862520008","2019-04-03 00:00:00","sell"
"387887.01060400024","2019-04-04 00:00:00","sell"
"292457.1299370003","2019-04-05 00:00:00","sell"
"268658.2886990001","2019-04-06 00:00:00","sell"
"262388.06486200023","2019-04-07 00:00:00","sell"
"452900.31214500044","2019-04-08 00:00:00","sell"
"232320.83806000007","2019-04-09 00:00:00","sell"
"281154.4650200002","2019-04-10 00:00:00","sell"
"351623.5728790002","2019-04-11 00:00:00","sell"
"167775.95114299984","2019-04-12 00:00:00","sell"
"95045.37913899992","2019-04-13 00:00:00","sell"
"104774.74229700005","2019-04-14 00:00:00","sell"
"186237.57257199992","2019-04-15 00:00:00","sell"
"127344.40310800013","2019-04-16 00:00:00","sell"
"120391.77462399993","2019-04-17 00:00:00","sell"
"199564.28532200036","2019-04-18 00:00:00","sell"
"177710.97402400017","2019-04-19 00:00:00","sell"
"133155.19464200007","2019-04-20 00:00:00","sell"
"156687.64152600022","2019-04-21 00:00:00","sell"
"154552.48645099992","2019-04-22 00:00:00","sell"
"194567.60998900005","2019-04-23 00:00:00","sell"
"236412.12870000003","2019-04-24 00:00:00","sell"
"228894.35349500022","2019-04-25 00:00:00","sell"
"290599.3303070002","2019-04-26 00:00:00","sell"
"115810.71796600003","2019-04-27 00:00:00","sell"
"82418.96903500002","2019-04-28 00:00:00","sell"
"122255.54782700016","2019-04-29 00:00:00","sell"
"164206.58120800005","2019-04-30 00:00:00","sell"
"104490.02153900018","2019-05-01 00:00:00","sell"
"158641.10070900014","2019-05-02 00:00:00","sell"
"232700.2627600005","2019-05-03 00:00:00","sell"
"175587.8805070003","2019-05-04 00:00:00","sell"
"99282.59423100014","2019-05-05 00:00:00","sell"
"292553.95967000024","2019-05-06 00:00:00","sell"
"380511.68627700064","2019-05-07 00:00:00","sell"
"155866.4083290002","2019-05-08 00:00:00","sell"
"153365.49227600018","2019-05-09 00:00:00","sell"
"235702.96075100024","2019-05-10 00:00:00","sell"
"500237.3715350007","2019-05-11 00:00:00","sell"
"457460.8261760007","2019-05-12 00:00:00","sell"
"390410.4742190004","2019-05-13 00:00:00","sell"
"490329.01258500014","2019-05-14 00:00:00","sell"
"70328.74508000014","2019-05-15 00:00:00","sell"
"110406.33412000009","2019-05-18 00:00:00","sell"
"462714.81951200066","2019-05-19 00:00:00","sell"
"376543.04782500054","2019-05-20 00:00:00","sell"
"323434.05288400006","2019-05-21 00:00:00","sell"
