x,dax_TVKDE,nq_TVKDE,dow_TVKDE,crix_TVKDE,snp500_TVKDE,btc_TVKDE,dax_U,nq_U,dow_U,crix_U,snp500_U,btc_U
-38.0,2.220446049250313e-16,2.1546550551984519e-16,2.4836100254577575e-16,2.3905510399728177e-05,2.2862370433021743e-16,0.0007430601654009789,2.220446049250313e-16,2.1546550551984519e-16,2.0230730670947297e-16,2.3922508407179738e-05,2.2862370433021743e-16,0.0007436799110782895
-37.97148574287144,2.1546550551984519e-16,1.990177570068799e-16,2.088864061146591e-16,2.6962034842298385e-05,2.319132540328105e-16,0.0007847183697445951,2.088864061146591e-16,2.2533415462762437e-16,2.088864061146591e-16,2.6981206190720644e-05,2.1546550551984519e-16,0.0007853728602424083
-37.94297148574287,2.2862370433021743e-16,2.1217595581725215e-16,2.1546550551984519e-16,3.03562573049773e-05,2.220446049250313e-16,0.0008271343250623565,2.220446049250313e-16,2.1875505522243825e-16,2.220446049250313e-16,3.0377842114459204e-05,2.4178190314058963e-16,0.0008278241923791377
-37.91445722861431,2.220446049250313e-16,2.319132540328105e-16,2.3520280373540355e-16,3.4118089178552564e-05,2.4836100254577575e-16,0.0008701831189464076,2.220446049250313e-16,2.1875505522243825e-16,2.220446049250313e-16,3.4142348837688234e-05,2.3520280373540355e-16,0.0008709088908980609
-37.88594297148574,2.088864061146591e-16,2.0230730670947297e-16,2.220446049250313e-16,3.82791327523895e-05,2.220446049250313e-16,0.0009137295069936923,2.3520280373540355e-16,2.1546550551984519e-16,2.1546550551984519e-16,3.8306351120574987e-05,2.5494010195096187e-16,0.0009144915985961459
-37.85742871435718,2.2862370433021743e-16,2.3520280373540355e-16,2.3520280373540355e-16,4.2872656573161195e-05,2.3520280373540355e-16,0.0009576284314110802,2.1546550551984519e-16,2.2862370433021743e-16,2.0230730670947297e-16,4.290314116535656e-05,2.220446049250313e-16,0.0009584271366956229
-37.82891445722861,1.8914910789910075e-16,2.0230730670947297e-16,2.5494010195096187e-16,4.7933552362288114e-05,2.4178190314058963e-16,0.0010017256617718695,2.4178190314058963e-16,2.1546550551984519e-16,2.4836100254577575e-16,4.796763550321042e-05,2.2862370433021743e-16,0.0010025611461345544
-37.80040020010005,2.220446049250313e-16,2.2862370433021743e-16,2.2862370433021743e-16,5.349827172304444e-05,2.3520280373540355e-16,0.0010458585565376328,2.2862370433021743e-16,2.1546550551984519e-16,2.220446049250313e-16,5.3536311656351846e-05,2.1546550551984519e-16,0.0010467308497242014
-37.77188594297149,2.1546550551984519e-16,2.088864061146591e-16,2.3520280373540355e-16,5.960474091570333e-05,2.220446049250313e-16,0.0010898569422457135,2.4836100254577575e-16,2.220446049250313e-16,2.220446049250313e-16,5.964712285246086e-05,2.3520280373540355e-16,0.0010907659320695312
-37.743371685842924,2.3520280373540355e-16,2.3520280373540355e-16,2.088864061146591e-16,6.629225205775846e-05,2.4178190314058963e-16,0.0011335441055144104,2.1546550551984519e-16,2.220446049250313e-16,2.3520280373540355e-16,6.633938914771361e-05,2.088864061146591e-16,0.001134489532401968
-37.71485742871436,2.2862370433021743e-16,2.3520280373540355e-16,2.4178190314058963e-16,7.360132921885487e-05,2.4836100254577575e-16,0.0011767378912651632,2.1546550551984519e-16,2.2862370433021743e-16,2.220446049250313e-16,7.365366342637892e-05,2.088864061146591e-16,0.0011777193437173435
-37.68634317158579,2.1546550551984519e-16,2.2862370433021743e-16,2.4836100254577575e-16,8.157356802729135e-05,2.3520280373540355e-16,0.0012192518988327753,2.4178190314058963e-16,2.220446049250313e-16,2.2862370433021743e-16,8.163157089331483e-05,2.2862370433021743e-16,0.0012202688098839232
-37.65782891445723,2.088864061146591e-16,2.220446049250313e-16,2.1546550551984519e-16,9.025144759043199e-05,2.2862370433021743e-16,0.0012608967659644963,2.2862370433021743e-16,2.2862370433021743e-16,2.220446049250313e-16,9.031562086065136e-05,2.5494010195096187e-16,0.0012619484107123035
-37.62931465732866,2.088864061146591e-16,2.220446049250313e-16,2.220446049250313e-16,9.967811375439439e-05,2.61519201356148e-16,0.0013014815291257404,2.220446049250313e-16,2.220446049250313e-16,2.3520280373540355e-16,9.974898985331769e-05,2.3520280373540355e-16,0.0013025670233956985
-37.6008004002001,1.8914910789910075e-16,2.2862370433021743e-16,2.2862370433021743e-16,0.00010989713299075534,2.4836100254577575e-16,0.0013408150470663976,2.220446049250313e-16,2.4836100254577575e-16,2.220446049250313e-16,0.00010997527532086752,2.220446049250313e-16,0.0013419333472635782
-37.57228614307154,2.1546550551984519e-16,2.4836100254577575e-16,2.3520280373540355e-16,0.00012095221649940039,2.2862370433021743e-16,0.0013787074732876218,1.8914910789910075e-16,2.3520280373540355e-16,2.1546550551984519e-16,0.00012103821954399941,2.4836100254577575e-16,0.0013798573774765964
-37.543771885942974,2.2862370433021743e-16,1.9572820730428687e-16,2.3520280373540355e-16,0.00013288691445521395,2.5494010195096187e-16,0.001414971761911478,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.00013298140366393914,2.4178190314058963e-16,0.0014161519121520577
-37.51525762881441,2.0230730670947297e-16,2.088864061146591e-16,2.4178190314058963e-16,0.0001457442807024791,2.5494010195096187e-16,0.0014494251905213748,2.1546550551984519e-16,2.220446049250313e-16,2.0230730670947297e-16,0.00014584791213841303,2.2862370433021743e-16,0.0014506340764746878
-37.48674337168584,2.2862370433021743e-16,2.088864061146591e-16,2.4836100254577575e-16,0.00015956650861010839,2.4836100254577575e-16,0.0014818908828324116,2.1546550551984519e-16,2.1546550551984519e-16,2.61519201356148e-16,0.00015967996833786538,2.2862370433021743e-16,0.0014831268466367498
-37.45822911455728,2.0230730670947297e-16,2.4178190314058963e-16,2.61519201356148e-16,0.00017439453924113975,2.680983007613341e-16,0.0015121993135854468,2.1546550551984519e-16,2.3520280373540355e-16,2.220446049250313e-16,0.00017451854243654156,2.3520280373540355e-16,0.0015134605559874543
-37.42971485742871,2.088864061146591e-16,2.4836100254577575e-16,2.220446049250313e-16,0.00019026764345683194,2.2862370433021743e-16,0.001540189777853667,2.4178190314058963e-16,2.088864061146591e-16,2.220446049250313e-16,0.00019040293321920092,2.4836100254577575e-16,0.0015414743655647522
-37.40120060030015,2.4836100254577575e-16,2.2862370433021743e-16,1.9572820730428687e-16,0.0002072229800641746,2.4836100254577575e-16,0.0015657118070128268,2.4836100254577575e-16,2.4178190314058963e-16,1.9572820730428687e-16,0.00020737032591456445,2.1546550551984519e-16,0.0015670176812468157
-37.37268634317159,1.9572820730428687e-16,2.2862370433021743e-16,2.220446049250313e-16,0.0002252951326186668,2.4836100254577575e-16,0.0015886265139644575,2.4836100254577575e-16,2.088864061146591e-16,2.220446049250313e-16,0.00022545532866879075,2.3520280373540355e-16,0.0015899515000971176
-37.344172086043024,2.220446049250313e-16,2.220446049250313e-16,2.4836100254577575e-16,0.0002445156280074811,2.746774001665202e-16,0.0016088078508133107,2.4836100254577575e-16,2.4178190314058963e-16,2.61519201356148e-16,0.0002446894907862668,2.3520280373540355e-16,0.001610149669090748
-37.31565782891446,1.694118096835424e-16,2.220446049250313e-16,2.4836100254577575e-16,0.0002649124404508461,2.4836100254577575e-16,0.001626143763080081,2.088864061146591e-16,2.1546550551984519e-16,1.9572820730428687e-16,0.00026510080637824846,2.3520280373540355e-16,0.0016275000402898917
-37.28714357178589,2.4836100254577575e-16,2.220446049250313e-16,1.9572820730428687e-16,0.0002865094850659862,2.61519201356148e-16,0.001640537225671822,2.3520280373540355e-16,2.220446049250313e-16,1.9572820730428687e-16,0.0002867132075667834,1.9572820730428687e-16,0.0016419055076783476
-37.25862931465733,2.3520280373540355e-16,2.4836100254577575e-16,2.4836100254577575e-16,0.0003093261056276817,2.4836100254577575e-16,0.001651907147213086,2.088864061146591e-16,1.8914910789910075e-16,2.4836100254577575e-16,0.0003095460518810863,2.220446049250313e-16,0.0016532849122467715
-37.230115057528764,2.4836100254577575e-16,2.0230730670947297e-16,2.220446049250313e-16,0.0003333765616242521,2.61519201356148e-16,0.0016601891309474307,2.220446049250313e-16,2.3520280373540355e-16,2.61519201356148e-16,0.00033361360894863584,2.220446049250313e-16,0.0016615738035289235
-37.2016008004002,2.088864061146591e-16,2.088864061146591e-16,1.9572820730428687e-16,0.00035866952013594933,2.3520280373540355e-16,0.001665336082219678,2.4836100254577575e-16,1.9572820730428687e-16,2.220446049250313e-16,0.00035892455201241825,2.220446049250313e-16,0.0016667250475905582
-37.17308654327164,2.220446049250313e-16,2.3520280373540355e-16,2.4836100254577575e-16,0.0003852075584475553,2.746774001665202e-16,0.0016673186545225205,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.00038548146018983076,2.4836100254577575e-16,0.0016687092734481103
-37.144572286143074,1.9572820730428687e-16,2.088864061146591e-16,2.220446049250313e-16,0.0004129866836344649,2.3520280373540355e-16,0.0016661255281957355,2.3520280373540355e-16,2.220446049250313e-16,1.9572820730428687e-16,0.00041328033771705563,2.61519201356148e-16,0.001667515152000162
-37.11605802901451,2.4836100254577575e-16,2.61519201356148e-16,1.9572820730428687e-16,0.0004419958756259263,2.3520280373540355e-16,0.0016617635180754188,2.4836100254577575e-16,2.220446049250313e-16,2.4836100254577575e-16,0.00044231015668755075,2.746774001665202e-16,0.001663149503766753
-37.08754377188594,2.088864061146591e-16,2.220446049250313e-16,2.220446049250313e-16,0.00047221666043855277,2.61519201356148e-16,0.0016542575086607764,2.3520280373540355e-16,2.3520280373540355e-16,2.3520280373540355e-16,0.0004725524299819654,2.4836100254577575e-16,0.001655637234001873
-37.05902951475738,2.4836100254577575e-16,2.220446049250313e-16,2.4836100254577575e-16,0.0005036227203794912,2.4836100254577575e-16,0.0016436502176615554,2.4836100254577575e-16,2.088864061146591e-16,2.220446049250313e-16,0.0005039808211943287,2.3520280373540355e-16,0.0016450210960437467
-37.030515257628814,2.088864061146591e-16,2.4836100254577575e-16,2.3520280373540355e-16,0.0005361795480360703,2.746774001665202e-16,0.0016300017910692809,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0005365607983754238,2.4836100254577575e-16,0.0016313612860483714
-37.00200100050025,2.4836100254577575e-16,2.3520280373540355e-16,2.088864061146591e-16,0.0005698441507863752,2.4836100254577575e-16,0.001613389235123032,2.088864061146591e-16,2.220446049250313e-16,2.220446049250313e-16,0.0005702493383334678,2.4836100254577575e-16,0.0016147348744815222
-36.97348674337169,1.8257000849391462e-16,2.088864061146591e-16,2.220446049250313e-16,0.0006045648123828339,2.8783559897689243e-16,0.0015939056926750567,2.4836100254577575e-16,2.088864061146591e-16,1.8257000849391462e-16,0.0006049946880480371,2.4836100254577575e-16,0.0015952350818807827
-36.944972486243124,2.746774001665202e-16,2.3520280373540355e-16,2.4836100254577575e-16,0.0006402809178699603,2.220446049250313e-16,0.0015716595734700978,2.3520280373540355e-16,1.9572820730428687e-16,1.8257000849391462e-16,0.0006407361894634227,1.694118096835424e-16,0.0015729704084094787
-36.91645822911456,1.8257000849391462e-16,2.3520280373540355e-16,2.3520280373540355e-16,0.0006769228476989163,2.61519201356148e-16,0.0015467735496985878,2.746774001665202e-16,2.4836100254577575e-16,2.220446049250313e-16,0.0006774041735278152,2.220446049250313e-16,0.0015480636285721745
-36.88794397198599,1.9572820730428687e-16,2.61519201356148e-16,2.3520280373540355e-16,0.0007144119463925822,2.61519201356148e-16,0.001519383429841616,2.4836100254577575e-16,2.088864061146591e-16,2.61519201356148e-16,0.0007149199288361319,2.61519201356148e-16,0.0015206506641204578
-36.85942971485743,1.8257000849391462e-16,1.9572820730428687e-16,2.088864061146591e-16,0.0007526605704993012,2.8783559897689243e-16,0.0014896369252643971,2.088864061146591e-16,1.9572820730428687e-16,2.088864061146591e-16,0.0007531957496178807,2.746774001665202e-16,0.00149087934961735
