x,dax_TVKDE,nq_TVKDE,dow_TVKDE,crix_TVKDE,snp500_TVKDE,btc_TVKDE,dax_U,nq_U,dow_U,crix_U,snp500_U,btc_U
-38.0,2.2862370433021743e-16,1.9572820730428687e-16,2.220446049250313e-16,2.2836054035401e-16,2.220446049250313e-16,2.149391775674303e-16,2.5494010195096187e-16,2.088864061146591e-16,2.220446049250313e-16,2.1099171792431863e-16,2.220446049250313e-16,2.2125511299640898e-16
-37.97148574287144,1.9572820730428687e-16,2.1217595581725215e-16,2.220446049250313e-16,2.362554596402333e-16,2.220446049250313e-16,2.252025726395206e-16,2.3520280373540355e-16,2.3520280373540355e-16,2.220446049250313e-16,2.2993952421125465e-16,2.220446049250313e-16,2.3941342735472264e-16
-37.94297148574287,2.3520280373540355e-16,2.220446049250313e-16,2.220446049250313e-16,2.409924112119673e-16,2.220446049250313e-16,2.409924112119673e-16,2.4178190314058963e-16,2.220446049250313e-16,2.220446049250313e-16,2.252025726395206e-16,2.220446049250313e-16,2.2993952421125465e-16
-37.91445722861431,1.8914910789910075e-16,2.1546550551984519e-16,2.220446049250313e-16,2.2993952421125465e-16,2.220446049250313e-16,2.2362358878227597e-16,2.3520280373540355e-16,2.2862370433021743e-16,2.220446049250313e-16,2.362554596402333e-16,2.220446049250313e-16,2.409924112119673e-16
-37.88594297148574,2.2862370433021743e-16,2.1546550551984519e-16,2.220446049250313e-16,2.3309749192574396e-16,2.220446049250313e-16,2.2836054035401e-16,2.3520280373540355e-16,2.2862370433021743e-16,2.220446049250313e-16,2.2362358878227597e-16,2.220446049250313e-16,2.2993952421125465e-16
-37.85742871435718,2.088864061146591e-16,2.220446049250313e-16,2.220446049250313e-16,2.409924112119673e-16,2.220446049250313e-16,2.244130807108983e-16,2.088864061146591e-16,2.3520280373540355e-16,2.220446049250313e-16,2.2046562106778665e-16,2.220446049250313e-16,2.2993952421125465e-16
-37.82891445722861,2.3520280373540355e-16,2.1546550551984519e-16,2.220446049250313e-16,2.3467647578298867e-16,2.220446049250313e-16,2.2757104842538766e-16,2.5494010195096187e-16,2.3520280373540355e-16,2.220446049250313e-16,2.2678155649676533e-16,2.220446049250313e-16,2.2678155649676533e-16
-37.80040020010005,2.4178190314058963e-16,2.4178190314058963e-16,2.220446049250313e-16,2.37834443497478e-16,2.220446049250313e-16,2.173076533532973e-16,2.088864061146591e-16,2.3520280373540355e-16,2.220446049250313e-16,2.2836054035401e-16,2.220446049250313e-16,2.4178190314058963e-16
-37.77188594297149,2.4178190314058963e-16,2.088864061146591e-16,2.220446049250313e-16,2.3941342735472264e-16,2.220446049250313e-16,2.3704495156885565e-16,2.4836100254577575e-16,2.4178190314058963e-16,2.220446049250313e-16,2.2836054035401e-16,2.220446049250313e-16,2.2678155649676533e-16
-37.743371685842924,1.9572820730428687e-16,2.220446049250313e-16,2.220446049250313e-16,2.409924112119673e-16,2.220446049250313e-16,2.2125511299640898e-16,2.3520280373540355e-16,2.3520280373540355e-16,2.220446049250313e-16,2.2046562106778665e-16,2.220446049250313e-16,2.37834443497478e-16
